iteracje,limit_stagnacji,fitness_koncowy,rozm_populacji,selekcja,krzyzowanie,mutacja,procent_rodzicow,czas
100,20,322,10,roulette,ox1,swap,50,63879310011,28
100,20,263,10,roulette,ox1,swap,50,63879310023,84
100,20,302,10,roulette,ox1,swap,50,63879383082,92
100,20,239,10,roulette,ox1,swap,50,63879383095,16
1000,20,274,10,roulette,ox1,swap,50,63879395491,28
1000,20,274,10,roulette,ox1,swap,50,63879395524,62
1000,20,332,10,roulette,ox1,swap,50,63879395535,45
1000,20,312,10,roulette,ox1,swap,50,63879395553,61
1000,20,307,10,roulette,ox1,swap,50,63879395591,22
1000,20,312,10,roulette,ox1,swap,50,63879395594,82
1000,20,317,10,roulette,ox1,swap,50,63879395609,26
1000,20,555,10,roulette,ox1,swap,50,63879395614,69
1000,100,396,10,roulette,ox1,swap,50,63879395627,94
1000,200,530,10,roulette,pmx,swap,50,63879395676,36
100,20,317,10,roulette,ox1,swap,50,63879395822,59
100,20,317,10,roulette,ox1,swap,50,63879395824,70
100,20,323,10,roulette,ox1,swap,50,63879395826,38
100,20,388,10,roulette,ox1,swap,50,63879395880,09
100,20,288,10,roulette,ox1,swap,50,63879396359,97
100,20,353,10,roulette,ox1,swap,50,63879396367,41
100,20,323,10,roulette,ox1,swap,50,63879396369,99
100,20,298,10,roulette,ox1,swap,50,63879396371,83
100,20,288,10,roulette,ox1,swap,50,63879396373,86
100,20,296,10,roulette,ox1,swap,50,63880331939,08
100,20,528,10,roulette,ox1,swap,0,63880332419,55
100,20,409,10,roulette,ox1,swap,0,63880332434,13
100,20,285,10,roulette,ox1,swap,0,5,63880332677,03
100,20,531,10,roulette,ox1,swap,1,63880332704,65
100,20,339,10,roulette,ox1,swap,0,1,63880332722,41
100,20,260,10,roulette,ox1,swap,0,5,63880332781,18
100,20,257,10,roulette,ox1,swap,0,5,63880333589,26
100,20,289,10,roulette,ox1,swap,0,5,63880333593,14
100,20,289,10,roulette,ox1,swap,0,5,63880333594,05
100,20,289,10,roulette,ox1,swap,0,5,63880333594,62
100,20,319,10,roulette,ox1,swap,0,5,63880333652,09
100,20,314,10,roulette,ox1,swap,0,5,63880333684,06
100,20,314,10,roulette,ox1,swap,0,5,63880333684,92
100,20,314,10,roulette,ox1,swap,0,5,63880333685,21
100,20,314,10,roulette,ox1,swap,0,5,63880333685,39
100,20,314,10,roulette,ox1,swap,0,5,63880333685,55
100,20,314,10,roulette,ox1,swap,0,5,63880333685,70
100,20,314,10,roulette,ox1,swap,0,5,63880333685,84
100,20,314,10,roulette,ox1,swap,0,5,63880333685,99
100,20,314,10,roulette,ox1,swap,0,5,63880333686,14
100,20,314,10,roulette,ox1,swap,0,5,63880333686,30
100,20,314,10,roulette,ox1,swap,0,5,63880333686,46
100,20,314,10,roulette,ox1,swap,0,5,63880333686,61
100,20,314,10,roulette,ox1,swap,0,5,63880333686,77
100,20,314,10,roulette,ox1,swap,0,5,63880333687,08
100,20,314,10,roulette,ox1,swap,0,5,63880333687,23
100,20,551,10,roulette,ox1,swap,0,5,63880333738,08
100,20,551,10,roulette,ox1,swap,0,5,63880333738,91
100,20,551,10,roulette,ox1,swap,0,5,63880333739,34
100,20,551,10,roulette,ox1,swap,0,5,63880333739,65
100,20,551,10,roulette,ox1,swap,0,5,63880333739,85
100,20,551,10,roulette,ox1,swap,0,5,63880333740,02
100,20,551,10,roulette,ox1,swap,0,5,63880333740,18
100,20,551,10,roulette,ox1,swap,0,5,63880333740,34
